GAME_ID,GAME_DATE,SEASON,TEAM_NAME,OPPONENT,DEF_PTS_ALLOWED_L5,DEF_3PT_ALLOWED_L5,DEF_3PT_PCT_L5,DEF_PTS_ALLOWED_STD_L10
32400011,2025-02-16,2024-25, Global Stars, Young Stars,,,,
32400031,2025-02-16,2024-25, Global Stars, OGs,,,,
32400021,2025-02-16,2024-25, OGs, Rising Stars,,,,
32400031,2025-02-16,2024-25, OGs, Global Stars,,,,
32400021,2025-02-16,2024-25, Rising Stars, OGs,,,,
32400006,2025-02-14,2024-25, Team C, Team G League,,,,
32400004,2025-02-14,2024-25, Team C, Team T,,,,
32400006,2025-02-14,2024-25, Team G League, Team C,,,,
32400005,2025-02-14,2024-25, Team G League, Team M,,,,
32400005,2025-02-14,2024-25, Team M, Team G League,,,,
32400004,2025-02-14,2024-25, Team T, Team C,,,,
32400011,2025-02-16,2024-25, Young Stars, Global Stars,,,,
12200008,2022-10-02,2022-23,Adelaide 36ers,Phoenix Suns,,,,
12200025,2022-10-06,2022-23,Adelaide 36ers,Oklahoma City Thunder,,,,
12100004,2021-10-04,2021-22,Atlanta Hawks,Miami Heat,,,,
12100016,2021-10-06,2021-22,Atlanta Hawks,Cleveland Cavaliers,,,,
12100034,2021-10-09,2021-22,Atlanta Hawks,Memphis Grizzlies,,,,
12100055,2021-10-14,2021-22,Atlanta Hawks,Miami Heat,,,,
22100014,2021-10-21,2021-22,Atlanta Hawks,Dallas Mavericks,,,,
22100027,2021-10-23,2021-22,Atlanta Hawks,Cleveland Cavaliers,98.0,13.2,0.3357696377453371,
22100043,2021-10-25,2021-22,Atlanta Hawks,Detroit Pistons,93.2,10.4,0.28333061335509313,
22100059,2021-10-27,2021-22,Atlanta Hawks,New Orleans Pelicans,94.2,10.4,0.2778760679005477,
22100066,2021-10-28,2021-22,Atlanta Hawks,Washington Wizards,96.6,10.6,0.29454273456721436,
22100082,2021-10-30,2021-22,Atlanta Hawks,Philadelphia 76ers,102.6,10.6,0.30259227017092954,
22100097,2021-11-01,2021-22,Atlanta Hawks,Washington Wizards,109.6,10.4,0.30528504862870187,14.41295713354249
22100113,2021-11-03,2021-22,Atlanta Hawks,Brooklyn Nets,111.6,11.6,0.3219517152953685,12.703455347966468
